x1,y1,x2,y2
12.297307,36.750736,13.032307,36.750736
14.472307,36.750736,15.207307,36.750736
16.647307,36.750736,17.382307,36.750736
18.822307,36.750736,19.557307,36.750736
20.997307,36.750736,21.732307,36.750736
23.172307,36.750736,23.907307,36.750736
25.347307,36.750736,26.082307,36.750736
27.522307,36.750736,28.257307,36.750736
29.697307,36.750736,30.432307,36.750736
31.872307,36.750736,32.607307,36.750736
34.047307,36.750736,34.782307,36.750736
36.222307,36.750736,36.957307,36.750736
38.397307,36.750736,39.132307,36.750736
40.572307,36.750736,41.307307,36.750736
42.747307,36.750736,43.482307,36.750736
44.922307,36.750736,45.657307,36.750736
47.097307,36.750736,47.832307,36.750736
49.272307,36.750736,50.007307,36.750736
51.447307,36.750736,52.182307,36.750736
53.734807,35.198236,53.734807,34.463236
53.734807,33.023236,53.734807,32.288236
53.734807,30.848236,53.734807,29.850736
53.734807,28.410736,53.734807,27.413236
53.734807,25.973236,53.734807,25.238236
53.734807,23.798236,53.734807,23.063236
21.732307,12.810736,20.997307,12.810736
15.699183,16.187315,15.179459,16.707038
14.161225,17.725272,13.641502,18.244996
12.623268,19.263229,12.103545,19.782953
10.744807,23.063236,10.744807,23.798236
10.744807,25.238236,10.744807,28.410736
10.744807,29.850736,10.744807,33.023236
10.744807,34.463236,10.744807,35.198236
23.907307,12.810736,23.172307,12.810736
26.082307,12.810736,25.347307,12.810736
28.257307,12.810736,27.522307,12.810736
30.432307,12.810736,29.697307,12.810736
32.607307,12.810736,31.872307,12.810736
34.782307,12.810736,34.047307,12.810736
36.957307,12.810736,36.222307,12.810736
39.669807,7.838236,39.669807,8.573236
39.669807,5.663236,39.669807,6.398236
53.734807,21.623236,53.734807,20.888236
53.734807,19.448236,53.734807,18.713236
53.734807,17.273236,53.734807,16.538236
53.734807,15.098236,53.734807,14.363236
53.734807,12.923236,53.734807,12.188236
53.734807,10.748236,53.734807,10.013236
53.734807,8.573236,53.734807,7.838236
53.734807,6.398236,53.734807,5.663236
17.237140,14.649358,16.717416,15.169081
11.085311,20.801187,10.744807,21.141691
10.744807,21.141691,10.744807,21.623236
39.669807,12.810736,38.397307,12.810736
39.669807,10.013236,39.669807,12.510736
41.307307,4.110736,39.669807,4.110736
52.182307,4.110736,51.447307,4.110736
50.007307,4.110736,49.572307,4.110736
47.832307,4.110736,47.097307,4.110736
45.657307,4.110736,44.922307,4.110736
43.482307,4.110736,42.747307,4.110736
19.017944,12.511127,19.557307,12.510736
19.557524,12.810736,19.075810,12.811085
19.075810,12.811085,18.255374,13.631124
38.277307,37.050736,37.077307,37.050736
37.077307,37.050736,38.277307,37.050736
36.102307,37.050736,34.902307,37.050736
34.902307,37.050736,36.102307,37.050736
33.927307,37.050736,32.727307,37.050736
32.727307,37.050736,33.927307,37.050736
31.752307,37.050736,30.552307,37.050736
30.552307,37.050736,31.752307,37.050736
29.577307,37.050736,28.377307,37.050736
28.377307,37.050736,29.577307,37.050736
27.402307,37.050736,26.202307,37.050736
26.202307,37.050736,27.402307,37.050736
25.227307,37.050736,24.027307,37.050736
24.027307,37.050736,25.227307,37.050736
23.052307,37.050736,21.852307,37.050736
21.852307,37.050736,23.052307,37.050736
20.877307,37.050736,19.677307,37.050736
19.677307,37.050736,20.877307,37.050736
18.702307,37.050736,17.502307,37.050736
17.502307,37.050736,18.702307,37.050736
16.527307,37.050736,15.327307,37.050736
15.327307,37.050736,16.527307,37.050736
14.352307,37.050736,13.152307,37.050736
13.152307,37.050736,14.352307,37.050736
12.177307,37.050736,10.977307,37.050736
10.977307,37.050736,12.177307,37.050736
53.502307,37.050736,52.302307,37.050736
52.302307,37.050736,53.502307,37.050736
51.327307,37.050736,50.127307,37.050736
50.127307,37.050736,51.327307,37.050736
49.152307,37.050736,47.952307,37.050736
47.952307,37.050736,49.152307,37.050736
46.977307,37.050736,45.777307,37.050736
45.777307,37.050736,46.977307,37.050736
44.802307,37.050736,43.602307,37.050736
43.602307,37.050736,44.802307,37.050736
42.627307,37.050736,41.427307,37.050736
41.427307,37.050736,42.627307,37.050736
40.452307,37.050736,39.252307,37.050736
39.252307,37.050736,40.452307,37.050736
23.052307,12.510736,21.852307,12.510736
21.852307,12.510736,23.052307,12.510736
11.806560,19.655674,10.958032,20.504202
10.958032,20.504202,11.806560,19.655674
10.444807,22.943236,10.444807,21.743236
10.444807,21.743236,10.444807,22.943236
10.444807,25.118236,10.444807,23.918236
10.444807,23.918236,10.444807,25.118236
10.444807,29.730736,10.444807,28.530736
10.444807,28.530736,10.444807,29.730736
10.444807,34.343236,10.444807,33.143236
10.444807,33.143236,10.444807,34.343236
10.444807,36.518236,10.444807,35.318236
10.444807,35.318236,10.444807,36.518236
54.034807,22.943236,54.034807,21.743236
54.034807,21.743236,54.034807,22.943236
54.034807,25.118236,54.034807,23.918236
54.034807,23.918236,54.034807,25.118236
54.034807,29.730736,54.034807,28.530736
54.034807,28.530736,54.034807,29.730736
54.034807,34.343236,54.034807,33.143236
54.034807,33.143236,54.034807,34.343236
54.034807,36.518236,54.034807,35.318236
54.034807,35.318236,54.034807,36.518236
54.034807,27.293236,54.034807,26.093236
54.034807,26.093236,54.034807,27.293236
54.034807,32.168236,54.034807,30.968236
54.034807,30.968236,54.034807,32.168236
20.877307,12.510736,19.677307,12.510736
19.677307,12.510736,20.877307,12.510736
25.227307,12.510736,24.027307,12.510736
24.027307,12.510736,25.227307,12.510736
27.402307,12.510736,26.202307,12.510736
26.202307,12.510736,27.402307,12.510736
29.577307,12.510736,28.377307,12.510736
28.377307,12.510736,29.577307,12.510736
31.752307,12.510736,30.552307,12.510736
30.552307,12.510736,31.752307,12.510736
33.927307,12.510736,32.727307,12.510736
32.727307,12.510736,33.927307,12.510736
36.102307,12.510736,34.902307,12.510736
34.902307,12.510736,36.102307,12.510736
38.277307,12.510736,37.077307,12.510736
37.077307,12.510736,38.277307,12.510736
54.034807,20.768236,54.034807,19.568236
54.034807,19.568236,54.034807,20.768236
54.034807,18.593236,54.034807,17.393236
54.034807,17.393236,54.034807,18.593236
54.034807,16.418236,54.034807,15.218236
54.034807,15.218236,54.034807,16.418236
54.034807,14.243236,54.034807,13.043236
54.034807,13.043236,54.034807,14.243236
54.034807,12.068236,54.034807,10.868236
54.034807,10.868236,54.034807,12.068236
54.034807,9.893236,54.034807,8.693236
54.034807,8.693236,54.034807,9.893236
54.034807,7.718236,54.034807,6.518236
54.034807,6.518236,54.034807,7.718236
54.034807,5.543236,54.034807,4.343236
54.034807,4.343236,54.034807,5.543236
13.344517,18.117716,12.495989,18.966244
12.495989,18.966244,13.344517,18.117716
14.882474,16.579759,14.033946,17.428287
14.033946,17.428287,14.882474,16.579759
16.420432,15.041802,15.571903,15.890330
15.571903,15.890330,16.420432,15.041802
17.958350,13.503883,17.109822,14.352412
17.109822,14.352412,17.958350,13.503883
52.302307,3.810736,53.502307,3.810736
53.502307,3.810736,52.302307,3.810736
50.127307,3.810736,51.327307,3.810736
51.327307,3.810736,50.127307,3.810736
47.952307,3.810736,49.152307,3.810736
49.152307,3.810736,47.952307,3.810736
45.777307,3.810736,46.977307,3.810736
46.977307,3.810736,45.777307,3.810736
43.602307,3.810736,44.802307,3.810736
44.802307,3.810736,43.602307,3.810736
41.427307,3.810736,42.627307,3.810736
42.627307,3.810736,41.427307,3.810736
39.369807,5.543236,39.369807,4.343236
39.369807,4.343236,39.369807,5.543236
39.369807,7.718236,39.369807,6.518236
39.369807,6.518236,39.369807,7.718236
39.369807,9.893236,39.369807,8.693236
39.369807,8.693236,39.369807,9.893236
24.389807,21.210736,40.089807,21.210736
40.089807,21.510736,24.389807,21.510736
49.572307,4.110736,49.572307,10.360736
49.272307,10.660736,49.272307,4.110736
49.572307,10.360736,52.034807,10.360736
52.034807,10.660736,49.572307,10.660736
