timestamp,startX,startY,endX,endY
10000.000000,755.00000,319.00000,884.00000,338.00000
10000.000000,608.00000,318.00000,754.00000,320.00000
10000.000000,927.00000,365.00000,829.00000,338.00000
10000.000000,778.00000,328.00000,653.00000,320.00000
10000.000000,886.00000,336.00000,768.00000,311.00000
10000.000000,754.00000,316.00000,628.00000,310.00000
10000.000000,995.00000,426.00000,1067.00000,448.00000
10000.000000,796.00000,336.00000,935.00000,370.00000
10000.000000,677.00000,324.00000,795.00000,336.00000
10000.033373,754.00000,319.00000,881.00000,337.00000
10000.033373,608.00000,318.00000,753.00000,320.00000
10000.033373,709.00000,313.00000,626.00000,310.00000
10000.033373,927.00000,364.00000,812.00000,335.00000
10000.033373,801.00000,331.00000,676.00000,320.00000
10000.033373,813.00000,339.00000,939.00000,371.00000
10000.033373,694.00000,325.00000,812.00000,340.00000
10000.033373,884.00000,337.00000,808.00000,319.00000
10000.033373,1043.00000,428.00000,969.00000,403.00000
10000.066734,758.00000,319.00000,884.00000,338.00000
10000.066734,622.00000,318.00000,757.00000,320.00000
10000.066734,755.00000,316.00000,627.00000,310.00000
10000.066734,927.00000,364.00000,809.00000,334.00000
10000.066734,798.00000,331.00000,672.00000,320.00000
10000.066734,802.00000,337.00000,939.00000,371.00000
10000.066734,678.00000,324.00000,801.00000,337.00000
10000.100107,754.00000,319.00000,881.00000,337.00000
10000.100107,621.00000,318.00000,753.00000,320.00000
10000.100107,927.00000,365.00000,818.00000,336.00000
10000.100107,817.00000,337.00000,721.00000,322.00000
10000.100107,720.00000,323.00000,630.00000,321.00000
10000.100107,798.00000,336.00000,938.00000,371.00000
10000.100107,677.00000,324.00000,797.00000,337.00000
10000.100107,885.00000,336.00000,794.00000,316.00000
10000.133508,778.00000,321.00000,895.00000,341.00000
10000.133508,621.00000,318.00000,777.00000,321.00000
10000.133508,755.00000,316.00000,626.00000,310.00000
10000.133508,927.00000,365.00000,829.00000,338.00000
10000.133508,828.00000,339.00000,733.00000,323.00000
10000.133508,732.00000,324.00000,642.00000,321.00000
10000.133508,807.00000,338.00000,940.00000,372.00000
10000.133508,680.00000,324.00000,806.00000,338.00000
10000.133508,885.00000,336.00000,773.00000,312.00000
10000.166841,754.00000,319.00000,881.00000,337.00000
10000.166841,608.00000,318.00000,753.00000,320.00000
10000.166841,708.00000,313.00000,626.00000,310.00000
10000.166841,927.00000,364.00000,798.00000,332.00000
10000.166841,779.00000,328.00000,665.00000,320.00000
10000.166841,816.00000,340.00000,940.00000,372.00000
10000.166841,697.00000,325.00000,815.00000,340.00000
10000.200209,776.00000,321.00000,897.00000,341.00000
10000.200209,621.00000,318.00000,775.00000,321.00000
10000.200209,885.00000,336.00000,767.00000,311.00000
10000.200209,727.00000,314.00000,626.00000,310.00000
10000.200209,927.00000,364.00000,812.00000,335.00000
10000.200209,811.00000,336.00000,730.00000,323.00000
10000.200209,729.00000,324.00000,642.00000,321.00000
10000.200209,997.00000,426.00000,1076.00000,452.00000
10000.200209,812.00000,339.00000,940.00000,372.00000
10000.200209,684.00000,324.00000,811.00000,339.00000
10000.233615,776.00000,321.00000,897.00000,341.00000
10000.233615,620.00000,318.00000,775.00000,321.00000
10000.233615,885.00000,336.00000,767.00000,311.00000
10000.233615,710.00000,313.00000,627.00000,310.00000
10000.233615,928.00000,365.00000,812.00000,335.00000
10000.233615,811.00000,336.00000,729.00000,323.00000
10000.233615,728.00000,324.00000,642.00000,321.00000
10000.233615,791.00000,335.00000,926.00000,367.00000
10000.233615,664.00000,323.00000,790.00000,336.00000
10000.266945,775.00000,321.00000,897.00000,341.00000
10000.266945,623.00000,318.00000,774.00000,321.00000
10000.266945,714.00000,313.00000,626.00000,310.00000
10000.266945,928.00000,364.00000,798.00000,332.00000
10000.266945,775.00000,328.00000,658.00000,320.00000
10000.266945,818.00000,340.00000,941.00000,372.00000
10000.266945,688.00000,324.00000,817.00000,340.00000
10000.266945,885.00000,336.00000,768.00000,311.00000
10000.300312,778.00000,321.00000,897.00000,341.00000
10000.300312,622.00000,318.00000,777.00000,321.00000
10000.300312,928.00000,364.00000,801.00000,333.00000
10000.300312,800.00000,333.00000,700.00000,321.00000
10000.300312,709.00000,313.00000,627.00000,310.00000
10000.300312,818.00000,340.00000,942.00000,372.00000
10000.300312,697.00000,325.00000,817.00000,340.00000
10000.300312,886.00000,337.00000,783.00000,314.00000
10000.300312,1062.00000,236.00000,1131.00000,265.00000
10000.333696,776.00000,321.00000,897.00000,341.00000
10000.333696,622.00000,318.00000,775.00000,321.00000
10000.333696,721.00000,314.00000,627.00000,310.00000
10000.333696,927.00000,364.00000,801.00000,333.00000
10000.333696,800.00000,333.00000,705.00000,321.00000
10000.333696,813.00000,339.00000,941.00000,372.00000
10000.333696,682.00000,324.00000,812.00000,339.00000
10000.333696,884.00000,336.00000,783.00000,314.00000
10000.333696,1029.00000,424.00000,962.00000,391.00000
10000.367059,775.00000,321.00000,897.00000,341.00000
10000.367059,620.00000,318.00000,774.00000,321.00000
10000.367059,708.00000,313.00000,625.00000,310.00000
10000.367059,927.00000,364.00000,797.00000,332.00000
10000.367059,758.00000,326.00000,641.00000,320.00000
10000.367059,999.00000,427.00000,1076.00000,452.00000
10000.367059,818.00000,340.00000,942.00000,372.00000
10000.367059,697.00000,325.00000,817.00000,340.00000
10000.367059,884.00000,336.00000,810.00000,320.00000
10000.400420,756.00000,319.00000,884.00000,338.00000
10000.400420,608.00000,318.00000,755.00000,320.00000
10000.400420,755.00000,316.00000,628.00000,310.00000
10000.400420,927.00000,364.00000,807.00000,334.00000
10000.400420,806.00000,334.00000,716.00000,322.00000
10000.400420,715.00000,322.00000,630.00000,322.00000
10000.400420,1000.00000,427.00000,1076.00000,452.00000
10000.400420,798.00000,336.00000,940.00000,371.00000
10000.400420,677.00000,324.00000,797.00000,337.00000
10000.400420,885.00000,336.00000,768.00000,311.00000
10000.433805,776.00000,321.00000,897.00000,341.00000
10000.433805,622.00000,318.00000,775.00000,321.00000
10000.433805,927.00000,364.00000,795.00000,332.00000
10000.433805,760.00000,326.00000,642.00000,320.00000
10000.433805,885.00000,336.00000,768.00000,311.00000
10000.433805,754.00000,316.00000,628.00000,310.00000
10000.433805,1000.00000,427.00000,1076.00000,451.00000
10000.433805,808.00000,338.00000,940.00000,371.00000
10000.433805,684.00000,324.00000,807.00000,339.00000
10000.433805,1044.00000,429.00000,963.00000,390.00000
10000.433805,1067.00000,237.00000,1138.00000,268.00000
10000.467145,785.00000,322.00000,897.00000,341.00000
10000.467145,622.00000,317.00000,784.00000,322.00000
10000.467145,708.00000,313.00000,627.00000,310.00000
10000.467145,928.00000,364.00000,797.00000,332.00000
10000.467145,796.00000,333.00000,705.00000,321.00000
10000.467145,819.00000,340.00000,942.00000,372.00000
10000.467145,689.00000,324.00000,818.00000,341.00000
10000.467145,882.00000,335.00000,767.00000,311.00000
10000.467145,1039.00000,427.00000,965.00000,391.00000
10000.500513,776.00000,321.00000,896.00000,341.00000
10000.500513,621.00000,318.00000,775.00000,321.00000
10000.500513,887.00000,337.00000,767.00000,311.00000
10000.500513,729.00000,314.00000,626.00000,310.00000
10000.500513,928.00000,365.00000,813.00000,335.00000
10000.500513,812.00000,336.00000,719.00000,322.00000
10000.500513,718.00000,323.00000,630.00000,321.00000
10000.500513,808.00000,338.00000,940.00000,371.00000
10000.500513,682.00000,324.00000,807.00000,338.00000
10000.533890,776.00000,321.00000,897.00000,341.00000
10000.533890,622.00000,318.00000,775.00000,321.00000
10000.533890,885.00000,336.00000,767.00000,311.00000
10000.533890,709.00000,313.00000,625.00000,310.00000
10000.533890,927.00000,364.00000,796.00000,332.00000
10000.533890,759.00000,326.00000,642.00000,320.00000
10000.533890,818.00000,340.00000,942.00000,372.00000
10000.533890,685.00000,324.00000,817.00000,340.00000
10000.567241,776.00000,321.00000,897.00000,341.00000
10000.567241,622.00000,318.00000,775.00000,321.00000
10000.567241,927.00000,364.00000,796.00000,332.00000
10000.567241,791.00000,331.00000,679.00000,320.00000
10000.567241,819.00000,340.00000,942.00000,372.00000
10000.567241,696.00000,325.00000,818.00000,341.00000
10000.567241,881.00000,336.00000,783.00000,314.00000
10000.567241,1044.00000,428.00000,966.00000,391.00000
10000.600607,722.00000,322.00000,625.00000,322.00000
10000.600607,807.00000,334.00000,724.00000,323.00000
10000.600607,925.00000,364.00000,808.00000,335.00000
10000.600607,758.00000,319.00000,884.00000,338.00000
10000.600607,607.00000,318.00000,757.00000,320.00000
10000.600607,887.00000,336.00000,767.00000,311.00000
10000.600607,755.00000,316.00000,626.00000,310.00000
10000.600607,813.00000,339.00000,941.00000,372.00000
10000.600607,684.00000,324.00000,812.00000,339.00000
10000.600607,1034.00000,423.00000,966.00000,391.00000
10000.633984,776.00000,321.00000,897.00000,341.00000
10000.633984,621.00000,318.00000,775.00000,321.00000
10000.633984,885.00000,336.00000,766.00000,311.00000
10000.633984,709.00000,313.00000,626.00000,310.00000
10000.633984,928.00000,364.00000,796.00000,332.00000
10000.633984,763.00000,327.00000,658.00000,320.00000
10000.633984,998.00000,426.00000,1076.00000,451.00000
10000.633984,808.00000,338.00000,940.00000,371.00000
10000.633984,682.00000,324.00000,807.00000,338.00000
10000.667368,758.00000,319.00000,885.00000,338.00000
10000.667368,607.00000,318.00000,757.00000,320.00000
10000.667368,708.00000,313.00000,626.00000,310.00000
10000.667368,927.00000,364.00000,793.00000,331.00000
10000.667368,774.00000,328.00000,666.00000,320.00000
10000.667368,813.00000,339.00000,942.00000,372.00000
10000.667368,684.00000,324.00000,812.00000,339.00000
10000.667368,881.00000,336.00000,783.00000,314.00000
10000.700705,776.00000,321.00000,897.00000,341.00000
10000.700705,624.00000,318.00000,775.00000,321.00000
10000.700705,709.00000,313.00000,625.00000,310.00000
10000.700705,928.00000,365.00000,802.00000,333.00000
10000.700705,801.00000,333.00000,706.00000,321.00000
10000.700705,813.00000,339.00000,941.00000,372.00000
10000.700705,683.00000,324.00000,812.00000,339.00000
10000.700705,886.00000,336.00000,783.00000,314.00000
10000.700705,1033.00000,422.00000,965.00000,390.00000
10000.700705,1067.00000,237.00000,1137.00000,267.00000
10000.734110,754.00000,318.00000,885.00000,338.00000
10000.734110,607.00000,318.00000,753.00000,320.00000
10000.734110,882.00000,335.00000,767.00000,311.00000
10000.734110,729.00000,314.00000,622.00000,310.00000
10000.734110,929.00000,365.00000,797.00000,332.00000
10000.734110,762.00000,327.00000,656.00000,320.00000
10000.734110,819.00000,340.00000,943.00000,373.00000
10000.734110,685.00000,324.00000,818.00000,340.00000
10000.734110,1058.00000,432.00000,969.00000,393.00000
10000.767446,758.00000,319.00000,885.00000,338.00000
10000.767446,607.00000,318.00000,757.00000,320.00000
10000.767446,708.00000,313.00000,628.00000,310.00000
10000.767446,928.00000,364.00000,785.00000,329.00000
10000.767446,772.00000,328.00000,663.00000,320.00000
10000.767446,813.00000,339.00000,940.00000,371.00000
10000.767446,687.00000,324.00000,812.00000,339.00000
10000.767446,882.00000,335.00000,767.00000,311.00000
10000.800817,759.00000,319.00000,885.00000,338.00000
10000.800817,609.00000,318.00000,758.00000,320.00000
10000.800817,756.00000,316.00000,627.00000,310.00000
10000.800817,927.00000,364.00000,795.00000,332.00000
10000.800817,754.00000,325.00000,642.00000,320.00000
10000.800817,808.00000,338.00000,940.00000,371.00000
