# timestamp,tx,ty,tz,qx,qy,qz,qw
10000.994449876,40.045166281,19.854977807,0.880730760,-0.522494915,0.493534331,0.529733054,-0.450339670
10001.031575440,40.132820836,19.606236995,0.885136823,0.535025961,-0.452336869,-0.514679114,0.494210469
10001.066406854,40.133834683,19.611967158,0.897467189,0.547785317,-0.436238820,-0.514458866,0.494933342
10001.100376938,40.153536776,19.605735369,0.913295649,0.559309761,-0.423540214,-0.509950592,0.497731526
10001.133691260,40.167475878,19.594011120,0.926026169,0.567353070,-0.411992394,-0.504518794,0.503818963
10001.167141560,40.182182233,19.582262274,0.938584446,0.571866170,-0.402202823,-0.503397147,0.507733478
10001.200522560,40.201469185,19.574981341,0.950948481,0.576359112,-0.393035182,-0.500320556,0.512847796
10001.233852560,40.222395060,19.570179935,0.962816695,0.578858780,-0.385369819,-0.498618158,0.517486761
10001.265274434,40.249110167,19.570874325,0.976279766,0.587670222,-0.373741699,-0.490175522,0.524107632
10001.298393529,40.269199646,19.564735444,0.987266542,0.590186603,-0.364445126,-0.490074027,0.527908109
10001.331365455,40.291945428,19.563822928,0.997003526,0.591277502,-0.358040144,-0.488999065,0.532050829
10001.364728455,40.314222509,19.564659502,1.004831036,0.591821182,-0.351631138,-0.487366249,0.537193979
10001.395907939,40.338882832,19.560815510,1.014033970,0.593839069,-0.343252610,-0.484483446,0.542962794
10001.429694265,40.373380948,19.553574625,1.020092048,0.603791563,-0.323589274,-0.483147676,0.545246783
10001.459155459,40.392443716,19.541650150,1.024496219,0.605861710,-0.318838826,-0.479999141,0.548520024
10001.491511228,40.410556092,19.533267117,1.032580571,0.608394521,-0.311289194,-0.474219185,0.555041718
10001.524586792,40.432906407,19.530594986,1.038669963,0.612142276,-0.300645888,-0.467104207,0.562767752
10001.557492221,40.457398064,19.521746510,1.046044305,0.617035824,-0.287293419,-0.460504535,0.569793697
10001.590742151,40.480322198,19.519281055,1.052779689,0.620959002,-0.274859664,-0.451531529,0.578775744
10001.624438962,40.505421993,19.509284974,1.062572782,0.626139488,-0.259269774,-0.444147798,0.586055680
10001.658011023,40.532246545,19.505967267,1.069495788,0.628906268,-0.246081339,-0.436772030,0.594265155
10001.691577683,40.553073556,19.499014496,1.075323421,0.631222202,-0.235052095,-0.429924539,0.601227024
10001.724976648,40.578730865,19.491919526,1.080466816,0.632174927,-0.223730687,-0.424182296,0.608579346
10001.758369648,40.606604728,19.487365965,1.085072049,0.631322736,-0.212878984,-0.419644416,0.616451706
10001.791255056,40.620586901,19.479780552,1.094430873,0.630171482,-0.205000694,-0.414248988,0.623904155
10001.824554484,40.641143916,19.468279979,1.102158023,0.629240037,-0.195155216,-0.411133490,0.630032278
10001.857816023,40.660646579,19.459694878,1.100253974,0.626723504,-0.185796036,-0.407062777,0.637963462
10001.891198798,40.688177988,19.455734487,1.103024455,0.622625147,-0.175943866,-0.402680617,0.647479731
10001.924441023,40.709563574,19.450660118,1.109816481,0.620116920,-0.163873163,-0.396074460,0.657058304
10001.957869869,40.711549958,19.432326220,1.115516327,0.619450226,-0.154185330,-0.388676464,0.664408690
10001.991221869,40.737139897,19.425529178,1.119839322,0.617550652,-0.140146363,-0.379489754,0.674520360
10002.024755880,40.741281332,19.407575040,1.124565701,0.617194988,-0.128726212,-0.370798616,0.681915167
10002.058133880,40.764923011,19.398722833,1.131357055,0.613999431,-0.117777632,-0.363237182,0.690790763
10002.091561582,40.760220091,19.382396697,1.134842530,0.611658395,-0.110681971,-0.356775818,0.697376889
10002.124922582,40.780556003,19.374203589,1.143233043,0.606017984,-0.105613498,-0.352765859,0.705084563
10002.158537364,40.810440486,19.370279933,1.147709638,0.599191845,-0.102023883,-0.350630966,0.712473288
10002.192054303,40.812518887,19.334969754,1.139007403,0.594190140,-0.102122300,-0.351272863,0.716321498
10002.225696986,40.800180760,19.323433438,1.145982838,0.588244259,-0.103123400,-0.349860983,0.721755879
10002.259271308,40.738774388,19.306404711,1.136482873,0.584525211,-0.106514945,-0.348661435,0.724858640
10002.292604062,40.740537416,19.303775888,1.138327499,0.579121008,-0.104922157,-0.345607657,0.730866299
10002.326121142,40.716676103,19.299128830,1.144183470,0.575308410,-0.103085937,-0.343593408,0.735076250
10002.359598550,40.721525877,19.288699790,1.142763185,0.571335239,-0.097843316,-0.339301447,0.740862509
10002.393004431,40.727449439,19.276175093,1.139550435,0.567654175,-0.091601489,-0.334818813,0.746508049
10002.426401399,40.734317302,19.263363326,1.130016785,0.564329110,-0.084424587,-0.330028569,0.751988223
10002.459757749,40.739555599,19.249818074,1.117209250,0.560708482,-0.077185257,-0.325231601,0.757543953
10002.493285435,40.741326047,19.233618210,1.101838166,0.559245721,-0.065738959,-0.318084599,0.762721968
10002.526774804,40.745243140,19.208192769,1.093763954,0.560325410,-0.052400331,-0.310188160,0.766206856
10002.560247024,40.747015350,19.187310757,1.087894799,0.560117090,-0.041474771,-0.302840969,0.769958464
10002.593600313,40.742064346,19.163335166,1.084288887,0.558797165,-0.034896400,-0.296326487,0.773769076
10002.627175138,40.741688352,19.132267967,1.080207023,0.556933220,-0.029497759,-0.292173312,0.776910566
10002.660721117,40.736029560,19.109208921,1.081149409,0.553814069,-0.029499574,-0.287026720,0.781047639
10002.694129656,40.728952399,19.086540620,1.084910459,0.550144990,-0.032770094,-0.282053659,0.785310349
10002.727518730,40.720638902,19.062051887,1.092798441,0.546334062,-0.037794839,-0.276893434,0.789569927
10002.761010101,40.712767802,19.039249025,1.099937946,0.542607442,-0.042918375,-0.271081279,0.793882937
10002.794558301,40.696796399,19.011839343,1.107875889,0.541135326,-0.045690370,-0.264063683,0.797091789
10002.827988872,40.689011929,18.986424736,1.115644954,0.539746873,-0.044818664,-0.254312399,0.801242662
10002.861397528,40.677056953,18.965873617,1.118207211,0.539535715,-0.039038731,-0.243088904,0.805161459
10002.894810155,40.667973639,18.940844863,1.121411817,0.541085155,-0.029132062,-0.229880243,0.808414035
10002.928283491,40.662605169,18.919779457,1.119322038,0.543491050,-0.017227791,-0.216065774,0.810947756
10002.961749856,40.659858658,18.897393183,1.116650508,0.546618231,-0.003350166,-0.201879531,0.812675791
10002.995077034,40.660224655,18.870642554,1.112234553,0.549806818,0.011390322,-0.187700412,0.813849666
10003.028478584,40.659198643,18.841541461,1.103336064,0.552685057,0.024093854,-0.175310696,0.814386194
10003.061996317,40.663822079,18.788193138,1.101603394,0.555431320,0.033583167,-0.163836789,0.814570885
10003.095315826,40.660913159,18.753244613,1.096634437,0.556704445,0.037871497,-0.155730344,0.815103656
10003.128729461,40.654487371,18.723889705,1.091537980,0.556857651,0.038705217,-0.150015009,0.816031225
10003.162094872,40.655948425,18.691530011,1.085370869,0.556359011,0.037762229,-0.145322076,0.817263825
10003.195419020,40.659210643,18.658752833,1.078565578,0.555523827,0.036523508,-0.141081134,0.818630212
10003.228718871,40.661868745,18.623913743,1.068672008,0.554886151,0.035622898,-0.136879552,0.819814831
10003.262065905,40.665946021,18.583929168,1.060881500,0.554164841,0.035237853,-0.133101142,0.820940746
10003.295565845,40.672875566,18.537524664,1.058108850,0.553196553,0.035610920,-0.129873798,0.822093810
10003.328986435,40.677363880,18.490189028,1.054709015,0.552789542,0.035044010,-0.128324613,0.822635054
10003.362394957,40.684138644,18.444916945,1.055417055,0.551778876,0.033458788,-0.128114675,0.823411933
10003.395781613,40.683079573,18.398900969,1.055518784,0.550920694,0.029930850,-0.130065715,0.823816389
10003.429164617,40.681034595,18.359148124,1.056178071,0.548625853,0.023960482,-0.133682961,0.824963293
10003.462532459,40.679090886,18.322156801,1.058061769,0.545774966,0.015583952,-0.138429888,0.826271138
10003.495861780,40.687772782,18.284229420,1.064308955,0.542401125,0.006284583,-0.144010208,0.827660911
10003.529213491,40.691251166,18.258247757,1.063665606,0.539080666,-0.003643216,-0.149602346,0.828853365
10003.562578161,40.705790189,18.232017877,1.066452355,0.536335263,-0.009347441,-0.152881537,0.829990570
10003.595932620,40.715355076,18.201786743,1.067335922,0.535658353,-0.009032384,-0.154640385,0.830105353
10003.629316296,40.724135076,18.166302801,1.068435516,0.535647263,-0.007130951,-0.156214008,0.829836335
10003.662738258,40.732845788,18.128013364,1.066905833,0.535969461,-0.005690299,-0.157846156,0.829330422
10003.696044331,40.738211407,18.088653613,1.065386338,0.536134353,-0.005590075,-0.160173062,0.828778195
10003.729417385,40.742864442,18.051295893,1.062190692,0.536127880,-0.006652565,-0.163011333,0.828220952
10003.762824585,40.744366340,18.010519669,1.058490965,0.536019593,-0.008935626,-0.166094028,0.827656888
10003.796169212,40.745620240,17.974521140,1.054934920,0.535516056,-0.012087487,-0.169399869,0.827272706
10003.829528014,40.746993890,17.938746173,1.051161498,0.534843278,-0.015264486,-0.171949265,0.827129442
10003.862862357,40.746802107,17.904925686,1.048341893,0.534044244,-0.018259843,-0.173798360,0.827198558
10003.896207704,40.745965092,17.876073522,1.048018559,0.532951210,-0.020223108,-0.174185444,0.827776217
10003.929601449,40.746201029,17.838419062,1.050373040,0.532306539,-0.019092039,-0.172362215,0.828599125
10003.962936973,40.747114198,17.797544366,1.056980444,0.532001867,-0.015019229,-0.168646126,0.829642646
10003.996323416,40.749661645,17.757338221,1.065945471,0.531448820,-0.009323297,-0.164100293,0.830991168
10004.029703747,40.751752555,17.720327125,1.074426188,0.530259391,-0.005324132,-0.160396183,0.832508076
10004.063049013,40.754156562,17.685687238,1.080926917,0.528533341,-0.005243147,-0.158136638,0.834037062
10004.096420778,40.755232304,17.651911459,1.085786379,0.526034542,-0.008345264,-0.156894845,0.835824159
10004.129795735,40.755573449,17.620116737,1.088618668,0.523085648,-0.012219191,-0.156278006,0.837740581
10004.163102449,40.757827492,17.591823984,1.088594544,0.520249106,-0.013179473,-0.154593433,0.839802381
10004.196462107,40.760184245,17.561315224,1.086873873,0.517808578,-0.009294381,-0.150875630,0.842035887
10004.229858046,40.764507128,17.530164253,1.083524814,0.515718060,-0.001181923,-0.145550553,0.844303573
10004.263160754,40.767814270,17.498653102,1.079647060,0.513593440,0.008401296,-0.139666906,0.846548494
10004.296502120,40.772079550,17.460801291,1.074053408,0.511465991,0.016187249,-0.134809052,0.848508711
10004.329889739,40.776112069,17.425978017,1.068189760,0.508820281,0.021349993,-0.130960540,0.850585350
10004.363229049,40.782534079,17.390670605,1.060580634,0.505861253,0.024921583,-0.128137943,0.852680465
10004.396597001,40.790122030,17.355152962,1.051851121,0.502787717,0.028665377,-0.125385701,0.854787245
10004.429982480,40.798096717,17.322050709,1.042825333,0.499552465,0.033158590,-0.122509645,0.856935954
10004.463333129,40.806917698,17.286870405,1.034434626,0.496317558,0.037594684,-0.119848362,0.859006340
