# timestamp tx ty tz qx qy qz qw
10000.994449876 0.027792735108875463 0.015339208589332246 0.026873752054423064 0.6613063883143194 -0.03473818738521728 0.7468785820110823 0.06032829224315303
10001.038888497 -0.14413656171445133 -0.04582651139854656 0.03524769533332283 0.6407659974924766 -0.03032121549942491 0.7660116354004441 0.041541964075449904
10001.071039296 -0.15449561478697493 -0.061292322863214795 0.03693173266030212 0.6303966429986848 -0.007315745621919464 0.7759677512120255 0.0205085699388312
10001.103468917 -0.17950641547414084 -0.06866932304030537 0.04654440048670885 0.6264657492140954 0.004850310872254258 0.7793942310036804 0.007859530790473702
10001.136827002 -0.19519260071635694 -0.07909220824145037 0.058338728720265944 -0.6222625292418239 -0.014315143544763093 -0.7826717257215631 0.0030644939046240087
10001.170172246 -0.2079667947735507 -0.09121203065834216 0.07024206171713211 -0.6182903957169992 -0.021959140914955464 -0.7855334676443904 0.013113119574424226
10001.202725130 -0.22110160176862878 -0.10518455073151377 0.08342377831156485 -0.6144075113887979 -0.029107372852661184 -0.7881169980839718 0.022973204516330004
10001.236055123 -0.23115541264637787 -0.11939532788079762 0.09457712637579724 -0.6114660527602839 -0.032026955680144235 -0.7900429836769102 0.03025928575669603
10001.266145248 -0.2466602264038567 -0.1409154441989733 0.10441101485930644 -0.6076338843772225 -0.03912314915856955 -0.7921341396627453 0.04211824470852085
10001.299520248 -0.25375048876221873 -0.15568482407148443 0.11340051415472523 -0.6057734314883614 -0.0396255353450294 -0.7932143565592636 0.047742551248429015
10001.332865248 -0.2609353179397135 -0.1720330640363158 0.12208439730201062 -0.6039205185004018 -0.040422813011901176 -0.7941702142969006 0.054218762859600055
10001.363205627 -0.26995707293744975 -0.19087735994705107 0.13067298627411736 -0.6019656939029637 -0.05003741445732575 -0.7939025292869284 0.06965870017569331
10001.396846671 -0.2798296177479919 -0.20769263327407844 0.13771127273043773 -0.5988548330899426 -0.051455783279442065 -0.795707085670048 0.07466876901620463
10001.427811912 -0.299008666815566 -0.1962406864328638 0.14673358357418673 -0.5986934929674416 -0.0512427990459272 -0.7958274860731046 0.07482572709265921
10001.460926373 -0.31711241158227516 -0.1805696163639375 0.15406253787895485 -0.5983328063764173 -0.05684652166458344 -0.7950613507107968 0.08150935157564743
10001.494865410 -0.32507904618394606 -0.1885453396473965 0.1597123079867581 -0.596035163099787 -0.06484084773288912 -0.7948864459443045 0.09323779742101872
10001.528422338 -0.33791766961914355 -0.20589898535888404 0.16665236725052013 -0.5941074550380662 -0.07283432162064614 -0.7938869277214983 0.1071216105889622
